sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,lnlike,likelihood,prior_prob
1,1.41359193157405,0,0.0397412685584277,0.8,0.152865874976851,1,8,1.9690949957585,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.0948715684935451,0,0.354691204149276,0,0,0,-0.190136183984578,0,0,0.80938129639253,0,0,0.751484622247517,-2480.47012581972,-1840.20472464877,-640.265401170954
101,1.62779319249094,0,0.0711036812420935,0.8,0.17203148175031,1,8,2.44920140586328,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.246769701037555,0,0.640595386223867,0,0,0,-0.698222452076152,0,0,1.40095782945864,0,0,0.506814186461269,-2238.70005897588,-1598.27106121891,-640.428997756975
201,1.67607647925615,0,0.118933490212075,0.8,0.175291112391278,1,8,2.44920140586328,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.370553954411298,0,0.787479080818592,0,0,0,-0.784652122389526,0,0,1.56447346056812,0,0,0.411009343620389,-2227.42736799285,-1591.00689497218,-636.420473020673
301,1.25476207919419,0,0.0539212846802548,0.8,0.157552838418633,1,8,2.44920140586328,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.220985258091241,0,0.748920542001723,0,0,0,-0.538502694340425,0,0,1.96271457131952,0,0,0.341766720358283,-2207.99655266558,-1608.36560728511,-599.630945380469
401,1.20383270680904,0,0.0176230211881921,0.8,0.141620739619248,1,8,2.23566279851366,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.181648542266339,0,0.656264226557685,0,0,0,-0.801391124865042,0,0,1.89318743259646,0,0,0.693979421490805,-2166.19627585495,-1601.90209462747,-564.29418122748
501,1.15341745596379,0,0.0373972262628377,0.8,0.0919018432265148,1,8,2.23566279851366,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.38742587948218,0,1.00968858739361,0,0,0,-0.407333496026696,0,0,2.11805387395434,0,0,0.351575339678677,-2103.22859494108,-1584.18594502543,-519.042649915646
601,1.25200573932379,0,0.103823521654122,0.8,0.0721409839810804,1,8,2.2027668262599,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.29276583166793,0,0.931546972692013,0,0,0,-0.146869239024818,0,0,2.21953137149103,0,0,0.596889974456283,-2095.1241364678,-1576.68573200496,-518.438404462838
701,1.35926097612828,0,0.141379517610185,0.8,0.130908036744222,1,8,2.22357117617503,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.103008458577096,0,1.21681170077063,0,0,0,-0.336466527683661,0,0,2.22546460530721,0,0,0.679422637587416,-2155.92396109232,-1586.9196023121,-569.004358780223
801,1.4157530752942,0,0.147519331113435,0.8,0.11793307242915,1,8,2.22357117617503,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.13721896992065,0,0.806906110886484,0,0,0,-0.101391057763248,0,0,2.3708142075222,0,0,0.762182546267288,-2046.35782168681,-1587.31316781951,-459.0446538673
901,1.66298016011715,0,0.205268893684261,0.8,0.183810769347474,1,8,2.22357117617503,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.0315438546706002,0,1.39682697514072,0,0,0,-0.234108080109581,0,0,2.02527261562646,0,0,1.14055952941999,-2060.38352245576,-1600.81436831852,-459.569154137241
