i,j,x,sampno
25,4,1,1
40,4,1,1
44,4,1,1
75,4,1,1
99,4,1,1
126,4,1,1
158,4,1,1
183,4,1,1
214,4,1,1
224,4,1,1
1,5,1,1
5,5,1,1
16,5,1,1
25,5,1,1
40,5,1,1
41,5,1,1
44,5,1,1
59,5,1,1
60,5,1,1
63,5,1,1
68,5,1,1
73,5,1,1
75,5,1,1
85,5,1,1
99,5,1,1
103,5,1,1
126,5,1,1
128,5,1,1
137,5,1,1
144,5,1,1
153,5,1,1
162,5,1,1
164,5,1,1
178,5,1,1
179,5,1,1
183,5,1,1
216,5,1,1
224,5,1,1
1,6,1,1
7,6,1,1
32,6,1,1
36,6,1,1
40,6,1,1
41,6,1,1
44,6,1,1
46,6,1,1
49,6,1,1
51,6,1,1
58,6,1,1
63,6,1,1
76,6,1,1
85,6,1,1
89,6,1,1
99,6,1,1
105,6,1,1
109,6,1,1
112,6,1,1
126,6,1,1
133,6,1,1
137,6,1,1
140,6,1,1
144,6,1,1
155,6,1,1
158,6,1,1
164,6,1,1
175,6,1,1
177,6,1,1
178,6,1,1
182,6,1,1
183,6,1,1
189,6,1,1
194,6,1,1
201,6,1,1
207,6,1,1
214,6,1,1
215,6,1,1
228,6,1,1
232,6,1,1
244,6,1,1
5,7,1,1
6,7,1,1
10,7,1,1
13,7,1,1
25,7,1,1
29,7,1,1
40,7,1,1
41,7,1,1
51,7,1,1
57,7,1,1
59,7,1,1
60,7,1,1
63,7,1,1
64,7,1,1
65,7,1,1
69,7,1,1
73,7,1,1
74,7,1,1
75,7,1,1
76,7,1,1
84,7,1,1
85,7,1,1
89,7,1,1
99,7,1,1
100,7,1,1
101,7,1,1
105,7,1,1
106,7,1,1
109,7,1,1
114,7,1,1
116,7,1,1
128,7,1,1
136,7,1,1
137,7,1,1
140,7,1,1
141,7,1,1
142,7,1,1
143,7,1,1
144,7,1,1
149,7,1,1
151,7,1,1
152,7,1,1
153,7,1,1
158,7,1,1
160,7,1,1
164,7,1,1
175,7,1,1
177,7,1,1
178,7,1,1
179,7,1,1
181,7,1,1
183,7,1,1
198,7,1,1
200,7,1,1
206,7,1,1
207,7,1,1
215,7,1,1
218,7,1,1
229,7,1,1
233,7,1,1
244,7,1,1
247,7,1,1
1,8,1,1
6,8,1,1
7,8,1,1
8,8,1,1
12,8,1,1
13,8,1,1
15,8,1,1
16,8,1,1
22,8,1,1
23,8,1,1
25,8,1,1
27,8,1,1
31,8,1,1
34,8,1,1
36,8,1,1
41,8,1,1
43,8,1,1
49,8,1,1
57,8,1,1
58,8,1,1
59,8,1,1
60,8,1,1
63,8,1,1
64,8,1,1
65,8,1,1
68,8,1,1
69,8,1,1
74,8,1,1
81,8,1,1
83,8,1,1
84,8,1,1
85,8,1,1
86,8,1,1
87,8,1,1
89,8,1,1
90,8,1,1
91,8,1,1
94,8,1,1
95,8,1,1
98,8,1,1
99,8,1,1
101,8,1,1
105,8,1,1
110,8,1,1
114,8,1,1
115,8,1,1
116,8,1,1
119,8,1,1
121,8,1,1
126,8,1,1
127,8,1,1
136,8,1,1
140,8,1,1
141,8,1,1
144,8,1,1
147,8,1,1
152,8,1,1
154,8,1,1
155,8,1,1
160,8,1,1
164,8,1,1
170,8,1,1
174,8,1,1
175,8,1,1
178,8,1,1
183,8,1,1
190,8,1,1
198,8,1,1
206,8,1,1
207,8,1,1
213,8,1,1
214,8,1,1
229,8,1,1
232,8,1,1
233,8,1,1
244,8,1,1
247,8,1,1
1,9,1,1
3,9,1,1
4,9,1,1
7,9,1,1
8,9,1,1
12,9,1,1
13,9,1,1
14,9,1,1
15,9,1,1
22,9,1,1
23,9,1,1
24,9,1,1
25,9,1,1
27,9,1,1
34,9,1,1
35,9,1,1
36,9,1,1
39,9,1,1
41,9,1,1
42,9,1,1
44,9,1,1
45,9,1,1
57,9,1,1
58,9,1,1
59,9,1,1
61,9,1,1
63,9,1,1
64,9,1,1
65,9,1,1
69,9,1,1
72,9,1,1
73,9,1,1
74,9,1,1
75,9,1,1
78,9,1,1
83,9,1,1
86,9,1,1
87,9,1,1
90,9,1,1
94,9,1,1
98,9,1,1
100,9,1,1
101,9,1,1
104,9,1,1
105,9,1,1
106,9,1,1
109,9,1,1
110,9,1,1
112,9,1,1
114,9,1,1
118,9,1,1
130,9,1,1
132,9,1,1
134,9,1,1
135,9,1,1
