"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type"
"1","mu",2.39881141856313,0,0.1,0,8,1,3,1
"2","mu_short",2.63188297534361,0,0.1,0,8,1,3,1
"3","tau",0.0956594012468122,0,0.1,0,1,0.01,0.1,1
"4","wane",0.8,1,0.1,0,1,0.2,0.8,1
"5","sigma1",0.167163661238737,0,0.1,0,1,0.1,0.2,1
"6","sigma2",1,1,0.1,0,1,0.01,0.1,1
"7","MAX_TITRE",8,1,0.1,0,8,8,8,1
"8","error",1.52410187001806,0,0.1,0,25,0.5,2,1
"9","alpha",0.333333333333333,1,0.1,0,1000,0,1000,1
"10","beta",0.333333333333333,1,0.1,0,1000,0,1000,1
"11","kappa",0.9,1,0.1,0,1,0.8,1,1
"12","t_change",6,1,0.1,0,12,0.4,12,1
"13","boost_limit",6,1,0.1,0,8,0,8,1
"14","gradient",0.2,1,0.1,0,1,0,1,1
"15","titre_dependent",0,1,0.1,0,1,0,1,0
"16","wane_type",0,1,0.1,0,1,0,1,0
"17","mu_mean",2,1,0.1,-100,100,1,3,1
"18","mu_sd",0.5,1,0.1,0,1000,0.1,1,1
"19","rho_mean",0,1,0.1,-10,10,-2,2,1
"20","rho_sd",1,1,0.1,0,10,1,2,1
"21","rho",0,1,0.1,-3,3,-1,1,3
"22","rho",0,1,0.1,-3,3,-1,1,3
"23","rho",0.373546189257668,1,0.1,-3,3,-1,1,3
"24","rho",0,1,0.1,-3,3,-1,1,3
"25","rho",0,1,0.1,-3,3,-1,1,3
"26","rho",0,1,0.1,-3,3,-1,1,3
"27","rho",1.18364332422208,1,0.1,-3,3,-1,1,3
"28","rho",0,1,0.1,-3,3,-1,1,3
"29","rho",0,1,0.1,-3,3,-1,1,3
"30","rho",0.164371387589953,1,0.1,-3,3,-1,1,3
"31","rho",0,1,0.1,-3,3,-1,1,3
"32","rho",0,1,0.1,-3,3,-1,1,3
"33","rho",2.59528080213779,1,0.1,-3,3,-1,1,3
"34","rho",0,1,0.1,-3,3,-1,1,3
"35","rho",0,1,0.1,-3,3,-1,1,3
"36","rho",-0.737773271856037,1,0.1,-3,3,-1,1,3
"37","rho",0,1,0.1,-3,3,-1,1,3
"38","rho",0,1,0.1,-3,3,-1,1,3
"39","rho",0,1,0.1,-3,3,-1,1,3
"40","rho",0.62066692128566,1,0.1,-3,3,-1,1,3
"41","rho",0,1,0.1,-3,3,-1,1,3
"42","rho",0,1,0.1,-3,3,-1,1,3
"43","rho",2.13199575188187,1,0.1,-3,3,-1,1,3
"44","rho",0,1,0.1,-3,3,-1,1,3
"45","rho",0,1,0.1,-3,3,-1,1,3
"46","rho",0.975564990118009,1,0.1,-3,3,-1,1,3
