sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,lnlike,likelihood,prior_prob
1,1.33931092265993,2.60301961004734,0.0365806084196083,0.8,0.144280180335045,1,8,1.7209009018261,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-3235.63163154116,-2456.12190068479,-779.509730856374
101,1.32501264754683,2.46018832325935,0.0531397376745008,0.8,0.155864720814861,1,8,2.48608090518974,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2541.45495767753,-1782.49212117892,-758.962836498608
201,1.48039834164083,2.12522908262908,0.00747934482758864,0.8,0.160083345277235,1,8,2.42008169891778,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2441.18647358454,-1763.9408128541,-677.24566073044
301,2.26411177832633,2.25436131488532,0.0650275673880242,0.8,0.167504557827488,1,8,2.2139431781834,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2354.21860065783,-1716.61786314474,-637.600737513098
401,2.97847103364766,1.39919132944197,0.135548141894396,0.8,0.198664706386626,1,8,2.09583858272526,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2225.30304083008,-1679.68619630616,-545.616844523916
501,3.44944299329072,1.90164595879614,0.276998391414527,0.8,0.167213702388108,1,8,2.09583858272526,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2182.74545783768,-1661.4594877242,-521.28597011348
601,3.88733799848706,1.99361442346126,0.25717331251828,0.8,0.171468134713359,1,8,2.09583858272526,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2140.13443716305,-1648.48364013443,-491.650797028616
701,4.08538308758289,3.1968937586993,0.260858905052301,0.8,0.179641882330179,1,8,2.09583858272526,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2169.67249912111,-1639.61648758677,-530.056011534335
801,4.69257486816496,3.35553355291486,0.352597814744804,0.8,0.207686349796131,1,8,2.09461012401152,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2101.57530374886,-1613.04851253623,-488.526791212635
901,4.34130852501839,4.34729517642409,0.385225406398531,0.8,0.177003196952865,1,8,1.93836131028365,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2071.27802092641,-1618.48225229093,-452.795768635486
1001,4.47505263052881,4.94472119398415,0.305230546433013,0.8,0.205750110815279,1,8,1.93836131028365,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2113.66391040466,-1614.12034641414,-499.543563990519
